TICID,Analysed,dScuti,Rpeak
175934060,,,
152859121,1,0,0
178999156,,,
83852015,,,
465992580,,,
114746467,,,
12725034,,,
188072230,,,
400036304,,,
442255852,,,
155842257,,,
91093307,,,
5976862,,,
386935627,,,
66744681,,,
4095307,,,
308263469,,,
127476636,,,
465950458,,,
743613,,,
12429240,,,
281109982,,,
322928423,1,0,0
188469084,,,
457965487,,,
67759173,,,
288329878,,,
414016637,,,
48795257,,,
335865775,,,
203446674,,,
441969141,,,
177227194,,,
73849418,,,
432202774,,,
24806286,,,
334177803,1,1,0
227998935,,,
335102703,,,
12354002,,,
214564391,,,
204191276,1,0,0
468048180,,,
67178294,,,
351854049,,,
398707879,,,
333394783,,,
224457605,,,
69306844,,,
161828468,,,
354002,,,
442430935,,,
135596590,,,
18809254,,,
75899957,1,0,0
209188615,,,
11450686,,,
414705454,,,
444107995,,,
214558913,1,0,0
192584774,,,
24086212,,,
168875537,,,
417526469,1,0,0
181290095,1,0,0
335254912,,,
333369648,,,
415683739,,,
2291183,,,
385436159,,,
81375021,,,
79454735,,,
502486654,,,
49202232,,,
214616659,,,
1277142190,,,
429674236,1,0,0
439340909,,,
70521136,,,
617994,,,
71637257,,,
422328291,,,
99636229,,,
410572150,,,
435179077,,,
230933617,,,
439106796,,,
73678669,,,
52836294,,,
309273373,,,
157170269,,,
99729124,,,
119606110,,,
47661512,,,
70800535,,,
29748529,,,
333077513,1,1,mayb
155706950,,,
70298460,,,
169314820,,,
429135124,,,
126327101,,,
441960203,,,
72376686,,,
379914959,,,
200758337,,,
108595201,,,
206004861,,,
435053621,,,
418824772,1,1,0
203822408,,,
295263194,,,
287157634,,,
441027987,,,
168829745,1,1,0
444057141,1,0,0
377135788,,,
169866102,,,
290128474,,,
187277316,,,
422736099,1,0,0
188231931,,,
206238826,1,0,mayb
146006911,,,
290058791,,,
192622805,,,
410627159,,,
203446203,,,
351985764,1,0,0
157837609,,,
294618524,,,
442202726,1,0,0
432265150,,,
420895269,1,0,0
70750382,,,
70697078,,,
192680424,1,0,0
127164591,,,
442402963,,,
323120504,,,
135656809,,,
335328974,,,
413938133,,,
71114698,,,
409100858,,,
428917148,,,
12382232,,,
261346414,,,
76917955,,,
26348809,,,
125066656,,,
423873323,,,
48774605,1,0,0
145740988,1,0,0
442521417,,,
71644320,,,
241934693,,,
67232805,,,
414158559,,,
198568110,,,
220466985,1,0,mayb
50060197,,,
423804974,,,
79014697,,,
522627916,,,
422856892,1,0,0
187912870,,,
189688673,,,
70298007,,,
434995865,,,
153173879,,,
127847930,,,
2622077,,,
11536112,,,
287619474,,,
399678436,,,
111148599,,,
83851180,,,
19924794,1,1,1
352487147,1,0,0
188077024,,,
433774971,,,
114612415,,,
186642657,1,0,mayb
318445083,,,
49697678,,,
20035975,,,
31251240,,,
79841001,,,
71859994,1,1,0
52954332,,,
67080218,,,
333163353,,,
214651507,,,
203481855,,,
108008285,,,
288404080,1,1,1
198795276,,,
48907955,,,
220308715,,,
281108197,,,
220765386,,,
1544160,,,
181694706,,,
220462690,,,
120869294,,,
357495411,,,
149055737,,,
214579678,,,
241967968,,,
441018038,1,0,mayb
294850329,,,
126668402,,,
243895751,,,
49868812,,,
1259005559,,,
427616891,,,
420896293,1,1,0
309480904,,,
163117625,,,
71800489,,,
18809756,1,0,0
392460735,,,
386768307,,,
190910831,,,
12056898,1,0,0
434548196,,,
23668016,,,
99389357,1,0,mayb
46039120,,,
429184986,,,
357492663,,,
76155888,,,
386831066,,,
73852746,1,0,0
411274672,,,
466492375,,,
333075857,,,
49432239,,,
235027603,,,
415652414,,,
102178354,,,
439080155,,,
6030718,,,
32448539,,,
385428155,,,
577858,,,
147755337,1,0,0
70860725,,,
414226748,,,
410634051,,,
145295189,,,
90200486,,,
8647435,,,
414768902,,,
187796346,,,
425257218,,,
131392570,,,
220679975,,,
49549335,1,0,0
162137990,,,
77390459,1,1,mayb
335184413,,,
47868508,,,
13991785,,,
102081548,,,
273113256,,,
52444862,,,
434520020,,,
77676815,,,
192659538,,,
439364873,,,
425631720,,,
325862858,1,0,0
429133679,,,
187064019,1,0,0
429344309,1,0,0
335910756,,,
744082,,,
6039332,,,
413933423,,,
262017471,,,
