update_date,main_id,TICID,gaiadr3_id,CCD,Tmag,RA,Dec,sector,count,sp_type,sp_qual,plx_value,V,B,G,otype,nbref,rvz_radvel,rvz_redshift,gaiadr3_plx,gaiadr3phot_g_mean_mag,gaiadr3_bp_rp,abs_mag
year-month-day,,,,,mag,deg,deg,,,,,mas,mag,mag,mag,,,km/s,,mas,mag,mag,mag
SIMBAD,SIMBAD,,SIMBAD,,,,,,,SIMBAD,SIMBAD,SIMBAD,SIMBAD,SIMBAD,SIMBAD,SIMBAD,SIMBAD,SIMBAD,SIMBAD,GAIADR3,GAIADR3,GAIADR3,GAIADR3
1/8/2025,* alf Sco,175934060,,3,-1.68,247.3518,-26.4319,91,1,M1.5Iab+B2Vn,C,5.89,0.9100000262260437,2.75,--,s*r,775,-3.5,-1.17E-05,,,,-6.149423526
12/8/2025,* zet Oph,152859121,4337352305320149760,4,1.5,249.2898,-10.5669,91,1,O9.2IVnn,C,7.4088,2.559999942779541,2.5799999237060547,2.5566000938415527,Be*,1890,-9,-3.00E-05,7.408845727983025,2.5565956,0.44186306,-3.094665044
30/7/2025,* alf Vir,178999156,,1,1.96,201.2979,-11.1615,91,1,B1V,C,13.06,0.9700000286102295,0.7400000095367432,--,bC*,872,-3.31,-1.10E-05,,,,-4.420284115
30/7/2025,* tet Oph,83852015,4110730486352950144,2,2.1,260.5024,-24.9997,91,1,OB,E,7.48,3.259999990463257,3.0299999713897705,3.259320020675659,bC*,346,-2.1,-7.00E-06,--,3.259318,-0.11450338,-2.371174011
10/7/2025,* tau Sgr,465992580,6762701233364896000,1,2.28,286.7346,-27.6722,92,1,K1.5IIIb,B,28.3195,3.309999942779541,4.510000228881836,2.966830015182495,PM*,162,40.59,0.000135403,28.319548249048147,2.9668314,1.349406,0.227259307
30/7/2025,* bet01 Cap,114746467,6875990375999580544,2,2.29,305.2531,-14.7814,92,1,G9II:+B8p:Si:,D,8.3966,3.0799999237060547,3.869999885559082,2.836869955062866,SB*,191,-19,-6.34E-05,8.396575006308046,2.8368742,1.0786076,-2.542608477
4/8/2025,* del Sco,12725034,,3,2.38,240.0833,-22.622,91,1,B0.3IV,B,6.64,2.319999933242798,2.200000047683716,--,SB*,768,-6,-2.00E-05,,,,-5.889159603
10/7/2025,* pi. Sgr,188072230,,3,2.42,287.441,-21.0239,92,1,F2II-III,C,6.4,2.880000114440918,3.2200000286102295,2.6363000869750977,**,140,-9.8,-3.27E-05,,,,-5.96910013
9/4/2025,* eta Oph,400036304,,1,2.45,257.5948,-15.7242,91,1,A2IV-V,C,36.91,2.4200000762939453,2.4700000286102295,--,**,270,-2.4,-8.01E-06,,,,-2.164279774
30/7/2025,* ksi02 Sgr,442255852,4084834822776246272,2,2.49,284.4328,-21.1068,92,1,G8/K0II/III,E,8.4092,3.509999990463257,4.690000057220459,3.1887199878692627,*,123,-20.1,-6.70E-05,8.409228939,3.1887186,1.3509386,-2.187507992
24/7/2025,* del Cap,155842257,6838311796136238976,3,2.59,326.7621,-16.1294,92,1,kA5hF0mF2III,C,84.27,2.8299999237060547,3.119999885559082,2.8368101119995117,SB*,280,-3.4,-1.13E-05,85.94055985093036,2.836813,0.6872513,2.46517797
4/8/2025,* sig Sgr,91093307,,1,2.83,283.8165,-26.2971,92,1,B2.5V,B,14.32,2.066999912261963,1.9229999780654907,--,**,281,-11.2,-3.74E-05,,,,-4.22028491
30/7/2025,* kap Vir,5976862,6304988355324252928,3,2.97,213.224,-10.2727,91,1,K2.5IIIFe-0.5,C,11.5878,4.210000038146973,5.53000021,3.709860086,PM*,148,-4.38,-1.46E-05,11.587768428938862,3.7098556,1.5545013,-0.970139446
11/7/2025,* gam Lib,386935627,6265374394490973184,1,3.05,233.882,-14.7895,91,1,G8.5III,C,20.2593,3.9100000858306885,4.929999828338623,3.6254398822784424,**,168,-26.71,-8.91E-05,20.25928939630109,3.625443,1.2459273,0.158565178
30/7/2025,* pi. Sco,66744681,6235406071207202688,3,3.07,239.7129,-26.1143,91,1,B1V+B2:V:,C,5.57,2.9100000858306885,2.7100000381469727,2.8735098838806152,SB*,411,-7.4,-2.47E-05,9.673294610301134,2.8735147,-0.06000185,-3.397209324
10/7/2025,V* V3879 Sgr,4095307,4092338405542143488,2,3.11,280.7295,-19.2844,92,1,M4III,C,4.0602,6.349999904632568,8.100000381469727,4.4444098472595215,LP*,92,-32.4,-0.000108069,4.060230228882371,4.4444084,3.5521955,-2.512854466
9/7/2025,V* ET Vir,308263469,6297642105821172480,4,3.13,212.7104,-16.3021,91,1,M2IIIa,B,5.8655,4.909999847412109,6.630000114440918,4.083240032196045,LP*,102,18.58,6.197812953212534e-05,--,4.0832424,2.1289027,-2.075232404
