main_id,id,version,hip,tyc,ucac,twomass,sdss,allwise,gaia,apass,kic,objtype,typesrc,ra,dec,posflag,pmra,e_pmra,pmdec,e_pmdec,pmflag,plx,e_plx,parflag,gallong,gallat,eclong,eclat,bmag,e_bmag,vmag,e_vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,jmag,e_jmag,hmag,e_hmag,kmag,e_kmag,twomflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,gaiamag,e_gaiamag,tmag,e_tmag,tessflag,spflag,teff,e_teff,logg,e_logg,mh,e_mh,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_ebv,epos_ebv,ebvflag,eneg_mass,epos_mass,eneg_rad,epos_rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_teff,epos_teff,teffflag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareflag,vmagflag,bmagflag,splists,e_ra,e_dec,ra_orig,dec_orig,e_ra_orig,e_dec_orig,raddflag,wdflag,objid,CCD,sector,otype,sp_type,sp_qual,nbref
* alf Sco,175934060,20190415,,,318-090918,16292443-2625549,,J162924.49-262554.8,,,,STAR,2mass,247.35182,-26.431938,2mass,,,,,,,,,351.947123,15.064432,249.762199,-4.569894,0.53,0.142,,,,,,,,,,,,,-2.85,0.093,-3.725,0.146,-4.1,0.16,ABC-333-111-000-0-0,,-1.233,0.009,2.066,,-3.61,,-4.284,0.001,,,-1.679,0.168,bpjk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bpbj,,290.0,290.0,247.35182,-26.431938,290.0,290.0,,0,1075794335,3,91,s*r,M1.5Iab+B2Vn,C,776
* zet Oph,152859121,20190415,81377.0,5632-01042-1,398-065625,16370954-1034014,,J163709.56-103401.5,4.337352305315545e+18,,,STAR,tmgaia2,249.289739092317,-10.5670903683093,tmgaia2,13.07,0.85,25.44,0.72,hip,7.12,0.71,hip,6.28123193427005,23.5877410869795,249.229189210942,11.3913221540579,2.563,0.022,2.55992,0.023,,,,,,,,,,,2.533,0.296,2.667,0.212,2.684,0.272,DCD-333-111-000-0-0,,1.564,,1.385,,2.784,0.014,2.734,0.028,2.58829,0.0172113,1.497,1.4014,gbprp,,,,,,,,,,,,,,DWARF,,,140.44945,14.0055,,,,,,,,,,,,,,,,,,,,,,,hip,,,,5.00059,5.00061,2.44982,0.0173289,0.0,,sirful,tycho2b3,,13.2589696186125,11.1730327823268,249.289796336746,-10.5669808349804,0.857405449119958,0.539501209404723,-1.0,0,1091362169,4,91,Be*,O9.2IVnn,C,1892
* alf Vir,178999156,20190415,,,395-055656,13251158-1109404,,J132511.54-110940.8,,,,STAR,2mass,201.298256,-11.161239,2mass,-43.0,8.0,-32.0,8.0,tic7,,,,316.112379,50.844635,203.841335,-2.054411,-0.135,0.3,0.972761,0.023,,,,,,,,,,,1.461,0.298,1.615,0.244,1.694,0.262,DDD-333-111-000-0-0,,-0.706,,0.09,,1.881,0.013,1.808,0.015,,,1.961,0.8,joffs,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sirful,bpbj,,290.0,290.0,201.298266,-11.161231,290.0,290.0,-1.0,0,848898679,1,91,bC*,B1V,C,872
* tet Oph,83852015,20190415,84970.0,6829-00577-1,326-102917,17220058-2459580,,J172200.59-245958.5,4.1107304863449953e+18,,,STAR,tmgaia2,260.502447532167,-24.9995318064432,tmgaia2,-8.84,0.71,-23.64,0.47,hip,5.79,0.69,hip,0.464440259572264,6.55233128562146,261.39487828793,-1.84350955514609,3.061,0.021,3.27,0.03,,,,,,,,,,,3.631,0.234,3.656,0.192,3.831,0.036,DCE-331-111-000-0-0,,3.959,0.317,3.665,0.254,4.021,0.015,3.843,0.033,3.2338,0.00974276,2.0974,1.6249,gbprp,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12835,6.12835,3.41247,0.00610007,0.0,,hipvmag,tycho2b3,,11.3015282268757,7.31930478282088,260.502405536537,-24.9996335897833,0.813763755200486,0.707811771465145,0.0,0,1229459578,2,91,bC*,OB,E,347
* tau Sgr,465992580,20190415,93864.0,6881-01777-1,312-239349,19065640-2740133,,,6.762701233353832e+18,12899955.0,,STAR,tmgaia2,286.735003339794,-27.6704255895161,tmgaia2,-51.0,8.0,-251.0,8.0,sblink,26.82,0.86,hip,9.33392206541873,-15.3684967643032,284.834238342539,-5.08886469215987,4.477,0.016,3.32,0.03,,,,,,,,,,,1.271,0.268,0.585,0.298,0.458,0.332,DDD-333-111-000-0-0,,,,,,,,,,2.91491,0.0104924,2.2784,1.5363,gbprp,,,,,,,,,,,,,,GIANT,,,37.2856,2.01671,,,,,,,,,,,,,,,,,,,,,,,hip,,,,3.57684,3.57686,2.31401,0.0354998,0.0,,hipvmag,tycho2b3,,127.725441261319,124.001134501746,286.734755400496,-27.6715062841899,0.559725301122721,0.530431635666086,-1.0,0,1650157065,1,92,PM*,K1.5IIIb,B,162
* bet01 Cap,114746467,20190415,100345.0,5753-02281-1,377-165074,20210066-1446531,,J202100.69-144653.2,6.875990375998568e+18,,,STAR,tmgaia2,305.252761713547,-14.7814645625803,tmgaia2,48.0,8.0,14.0,8.0,sblink,9.48,0.95,hip,29.1496170145964,-26.370091569303,304.047341901144,4.58857859453132,3.828,0.019,3.08533,0.023,,,,,,,,,,,1.452,0.272,0.914,0.26,0.796,0.27,DDD-333-111-000-0-0,,-1.758,,-0.761,,0.854,0.024,0.816,0.01,2.83484,0.000652087,2.2882,1.499,gbprp,spec7,4901.78,41.1441,,,,,,,,,,,GIANT,,,105.48524,10.5708,,,,,,,,,,,,,,,,,,,,,,,hip,,,spect,3.26474,3.26474,2.20246,0.0219302,0.0,,sirful,tycho2b3,,125.044702780771,124.000407067821,305.252975453738,-14.7814042849006,0.435907604437755,0.317730995129632,-1.0,0,1702141316,2,92,SB*,G9II:+B8p:Si:,D,191
* del Sco,12725034,20190415,78401.0,6779-02194-1,337-077369,16002000-2237180,,J160019.99-223718.2,,,,STAR,2mass,240.083355,-22.621694,2mass,-8.67,0.83,-36.9,0.66,tic7,8.12,0.88,hip,350.096932,22.490437,242.571228,-1.986038,2.201,0.022,2.29,0.03,,,,,,,,,,,2.41,0.308,2.432,0.214,2.427,0.278,DCD-333-111-000-0-0,,-0.904,,-0.724,,1.113,0.022,0.566,0.022,,,2.384,0.327,vjk,,,,,,,,,,,,,,DWARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,tycho2b3,,290.0,290.0,240.083357,-22.621687,290.0,290.0,,0,1022093638,3,91,SB*,B0.3IV,B,770
* pi. Sgr,188072230,20190415,94141.0,6295-00282-1,345-181481,19094584-2101247,,,4.082115215097593e+18,,,STAR,tmgaia2,287.440974014476,-21.0236148621991,tmgaia2,-1.17,0.68,-36.83,0.43,hip,7.41,0.69,hip,15.8857346534551,-13.2937019356291,286.251813681716,1.43706265326531,3.226,0.023,2.88774,0.023,,,,,,,,,,,2.027,0.278,1.896,0.258,1.86,0.266,DDD-333-111-000-0-0,,,,,,,,,,2.76037,0.0146341,2.4203,1.5355,gbprp,spec7,6607.1,39.034,,,-0.17,0.09,,,,,,,DWARF,,,134.95277,12.5665,,,,,,,,,,,,,,,,,,,,,,,hip,,,spect,2.94169,2.94172,2.29806,0.0208496,0.0,,sirful,tycho2b3,,10.7383151711559,6.69109208798215,287.440968617729,-21.0237734358116,0.628375763248855,0.590329001369055,0.0,0,1654798522,3,92,**,F2II-III,C,140
* eta Oph,400036304,20190415,84012.0,6232-01333-1,372-080691,17102267-1543298,,J171022.70-154328.8,,,,STAR,2mass,257.594506,-15.724914,2mass,41.16,1.13,97.65,0.65,tic7,38.77,0.86,hip,6.721415,14.007851,257.96956,7.197792,2.566,0.022,2.43,0.03,,,,,,,,,,,2.369,0.276,2.409,0.216,2.336,0.242,DCD-333-111-000-0-0,,0.525,,0.565,,2.423,0.019,2.303,0.023,,,2.447,0.292,vjk,spec7,8700.41,60.0638,,,,,,,,,,,DWARF,,,25.793139,0.572146,,,,,,,,,,,,,,,,,,,,,,,,,,spect,,,,,,,hipvmag,tycho2b3,,290.0,290.0,257.594486,-15.72496,290.0,290.0,-1.0,0,1188135783,1,91,**,A2IV-V,C,270
* ksi02 Sgr,442255852,20190415,93085.0,6294-02507-1,345-175727,18574379-2106238,,J185743.81-210624.2,4.0848348227762463e+18,,,STAR,tmgaia2,284.432497147369,-21.1066643170245,tmgaia2,34.4,0.6,-12.1,0.6,tycho2,8.93,0.53,hip,14.6099270537977,-10.7774180232576,283.451133664088,1.66121888656884,4.697,0.016,3.49903,0.023,,,,,,,,,,,1.603,0.312,1.04,0.266,0.976,0.286,DDD-333-111-000-0-0,,-1.674,,-1.13,,0.989,0.066,0.847,0.017,3.15653,0.0118933,2.4894,1.5799,gbprp,,,,,,,,,,,,,,GIANT,,,111.982,12.9011,,,,,,,,,,,,,,,,,,,,,,,hip,,,,3.73586,3.73587,2.40146,0.00950163,0.0,,sirful,tycho2b3,,9.47684066750382,9.31132421173943,284.432655909575,-21.106716414321,0.564336710740747,0.459084497805039,-1.0,0,1629626952,2,92,*,G8/K0II/III,E,123
